,Player,Tm,3P,3PA,3P%,2P,2PA,2P%,FT,FT%,TRB,AST,STL,BLK,PTS
82,Clint Capela,HOU,0.0,0.0,0,6.3,9.8,.642,1.3,.486,14.4,1.2,0.9,1.9,13.9
84,DeMarre Carroll,SAS,0.2,1.0,.231,0.5,1.2,.400,0.8,.611,2.3,0.8,0.2,0.2,2.5
85,Jevon Carter,PHO,0.8,2.2,.364,0.7,1.7,.394,0.3,1.000,2.1,1.7,0.9,0.3,4.0
86,Vince Carter,ATL,1.2,3.8,.302,0.9,2.0,.460,0.3,.615,1.9,1.0,0.3,0.4,5.6
87,Wendell Carter,CHI,0.1,0.6,.158,4.4,7.7,.580,2.6,.719,9.8,1.0,0.8,0.9,11.7
88,Michael Carter-Williams,ORL,0.4,1.6,.233,1.5,3.3,.444,1.2,.710,3.2,2.0,1.1,0.4,5.2
89,Alex Caruso,LAL,0.7,2.0,.339,1.2,2.4,.514,0.9,.758,2.1,1.7,1.1,0.3,5.4
90,Willie Cauley-Stein,GSW,0.0,0.0,0,3.7,6.5,.571,0.8,.632,6.3,1.4,1.2,1.5,8.3
91,Tyson Chandler,HOU,0.0,0.0,0,0.6,0.8,.765,0.2,.556,2.7,0.3,0.2,0.3,1.5
92,Wilson Chandler,BRK,0.3,2.0,.125,2.0,3.0,.667,0.5,1.000,4.8,1.3,0.8,0.3,5.3
93,Zylan Cheatham,NOP,0.0,0.5,.000,0.5,1.5,.333,0.0,0,1.5,0.5,0.0,0.0,1.0
94,Chris Chiozza,WAS,0.7,1.6,.438,0.3,1.8,.167,0.0,0,1.5,2.8,1.0,0.2,2.7
95,Marquese Chriss,GSW,0.1,0.7,.190,2.5,4.6,.528,2.0,.803,5.4,1.7,0.6,0.9,7.3
96,Gary Clark,HOU,0.9,2.9,.326,0.3,0.5,.625,0.4,.857,1.9,0.6,0.1,0.4,3.8
97,Brandon Clarke,MEM,0.5,1.2,.433,5.0,7.4,.676,1.2,.763,5.8,1.2,0.4,0.8,12.7
98,Jordan Clarkson,CLE,2.0,5.5,.371,2.9,5.8,.509,2.6,.884,2.4,2.4,0.6,0.3,14.6
99,Nicolas Claxton,BRK,0.0,0.6,.000,1.2,1.8,.688,0.6,.417,2.4,1.2,0.1,0.6,3.0
100,Chris Clemons,HOU,1.3,3.2,.391,0.5,0.8,.600,0.2,.750,0.7,0.3,0.3,0.2,4.8
101,John Collins,ATL,1.8,4.0,.458,5.5,9.5,.579,2.2,.722,9.0,1.3,1.2,2.0,18.7
102,Zach Collins,POR,1.0,2.3,.429,2.0,4.0,.500,2.0,1.000,4.0,2.0,0.0,0.7,9.0
103,Mike Conley,UTA,1.8,5.0,.360,2.7,7.3,.369,2.8,.803,3.3,4.6,0.7,0.2,13.6
105,Pat Connaughton,MIL,0.7,2.1,.313,1.2,2.0,.610,0.5,.714,3.7,1.8,0.3,0.5,4.9
106,Quinn Cook,LAL,0.6,1.8,.324,1.5,3.1,.470,0.2,.800,1.2,1.5,0.3,0.0,4.9
107,Tyler Cook,CLE,0.0,0.0,0,0.8,1.0,.833,0.3,1.000,0.8,0.0,0.2,0.0,2.0
108,Robert Covington,MIN,1.9,5.8,.333,2.1,3.5,.596,1.8,.879,5.3,1.0,1.4,0.8,11.8
109,Allen Crabbe,ATL,0.9,3.3,.288,0.9,1.8,.500,0.4,.778,2.4,0.9,0.5,0.2,5.0
110,Torrey Craig,DEN,0.3,1.4,.241,0.8,1.5,.531,0.3,.538,2.1,0.7,0.3,0.6,3.0
111,Jae Crowder,MEM,1.9,6.5,.299,1.5,3.0,.517,1.6,.750,6.0,2.9,0.9,0.4,10.5
112,Jarrett Culver,MIN,0.8,3.4,.240,2.3,5.1,.444,0.8,.434,3.2,2.0,0.8,0.5,7.9
113,Seth Curry,DAL,1.7,4.3,.400,1.7,3.0,.556,1.4,.927,2.1,1.9,0.5,0.1,9.9
114,Stephen Curry,GSW,2.3,9.3,.243,4.5,7.3,.621,4.5,1.000,5.0,6.5,1.3,0.5,20.3
115,Troy Daniels,LAL,1.1,3.2,.342,0.6,1.2,.481,0.2,.571,1.2,0.3,0.3,0.0,4.6
116,Anthony Davis,LAL,1.1,3.8,.291,8.6,15.7,.548,7.2,.856,9.3,3.2,1.4,2.7,27.7
117,Ed Davis,UTA,0.0,0.0,0,0.6,1.6,.393,0.2,.444,4.3,0.4,0.5,0.4,1.4
118,Terence Davis,TOR,1.1,2.8,.395,1.2,2.3,.543,0.7,.958,2.9,1.8,0.5,0.2,6.5
119,Dewayne Dedmon,SAC,0.5,2.2,.229,1.5,2.6,.579,0.5,.846,4.0,0.4,0.4,0.5,5.0
120,Matthew Dellavedova,CLE,0.2,1.6,.109,0.7,1.4,.526,0.7,.950,1.4,2.6,0.4,0.0,2.6
121,DeMar DeRozan,SAS,0.2,0.7,.263,7.8,15.1,.519,4.7,.814,5.3,4.9,1.0,0.4,20.9
122,Cheick Diallo,PHO,0.1,0.1,1.000,2.2,3.2,.688,0.9,.857,2.8,0.5,0.1,0.2,5.5
123,Hamidou Diallo,OKC,0.2,1.1,.154,3.7,6.6,.557,0.9,.611,3.8,0.8,1.5,0.3,8.8
124,Gorgui Dieng,MIN,0.7,2.0,.367,1.4,3.0,.480,1.0,.750,4.7,1.0,0.8,1.0,6.0
126,Spencer Dinwiddie,BRK,1.9,6.3,.308,5.6,11.1,.508,5.6,.836,2.9,6.2,0.9,0.4,22.7
127,Donte DiVincenzo,MIL,1.2,3.5,.337,2.0,3.8,.527,0.9,.781,4.4,2.2,1.6,0.2,8.4
128,Luka Dončić,DAL,3.0,9.3,.326,6.4,10.3,.620,7.4,.803,9.6,8.9,1.2,0.1,29.3
129,Luguentz Dort,OKC,0.0,1.8,.000,1.0,1.4,.714,0.6,.600,1.4,0.4,0.4,0.0,2.6
130,Damyean Dotson,NYK,1.1,3.6,.320,1.2,2.2,.559,0.6,.696,1.6,1.3,0.4,0.1,6.5
131,Sekou Doumbouya,DET,0.0,0.5,.000,0.7,1.3,.500,0.2,.333,0.7,0.0,0.2,0.0,1.5
132,Goran Dragić,MIA,2.3,5.6,.414,3.1,6.3,.496,2.9,.716,3.3,5.0,0.7,0.3,16.0
133,Andre Drummond,DET,0.0,0.5,.000,7.6,13.2,.573,2.8,.617,16.1,2.9,2.0,1.7,18.0
134,Jared Dudley,LAL,0.5,0.9,.526,0.0,0.4,.125,0.1,1.000,0.9,0.7,0.4,0.0,1.6
