,Player,Tm,3P,3P%,2P,2P%,FT,FT%,TRB,AST,STL,BLK,PTS,2K
400,Glenn Robinson,GSW,1.3,0.39,3.3,0.488,1,0.833,4.7,1.6,0.9,0.3,11.6,
401,Jerome Robinson,LAC,0.5,0.283,0.8,0.396,0.2,0.462,1.6,1,0.3,0.3,3.5,
402,Justin Robinson,WAS,0.3,0.5,0.3,0.4,0,0,0.6,0.6,0,0.1,1.4,
403,Mitchell Robinson,NYK,0,0,4.1,0.685,1.9,0.649,7,0.5,0.8,1.9,10.1,
404,Rajon Rondo,LAL,1.2,0.415,1.6,0.397,0.7,0.706,3.7,5.8,1.2,0.1,7.6,
405,Derrick Rose,DET,0.8,0.296,5.9,0.533,2.2,0.873,2.2,6,0.8,0.4,16.5,
406,Terrence Ross,ORL,2.1,0.339,2.4,0.496,1.9,0.852,2.8,1,0.9,0.3,13,
407,Terry Rozier,CHO,2.5,0.384,3.7,0.431,2.4,0.842,4.5,4.2,1.2,0.2,17.3,
408,Ricky Rubio,PHO,1.2,0.315,3.9,0.456,2.6,0.849,4.8,9.4,1.3,0.2,13.9,
409,D'Angelo Russell,GSW,3.2,0.355,4.6,0.492,3.6,0.758,3.3,6.2,0.9,0.4,22.4,
